攻,S,4,aggression,"コウ,せ-める"
更,S,4,grow late,"コウ,さら,ふ-ける,ふ-かす"
拘,S,3,arrest,コウ
肯,S,2.5,agreement,コウ
侯,S,2.5,marquis,コウ
恒,S,4,constancy,コウ
洪,S,2.5,deluge,コウ
荒,S,4,laid waste,"コウ,あら-い,あ-れる,あ-らす"
郊,S,3,outskirts,コウ
香,S,4,incense,"コウ,（キョウ）,か,かお-り,かお-る"
貢,S,2.5,tribute,"コウ,（ク）,みつ-ぐ"
控,S,3,withdraw,"コウ,ひか-える"
梗,S,2,close up,コウ
喉,S,2,throat,"コウ,のど"
慌,S,3,disconcerted,"コウ,あわ-てる,あわ-ただしい"
硬,S,3,stiff,"コウ,かた-い"
絞,S,3,strangle,"コウ,しぼ-る,し-める,し-まる"
項,S,4,paragraph,コウ
溝,S,2.5,gutter,"コウ,みぞ"
綱,S,3,hawser,"コウ,つな"
酵,S,3,fermentation,コウ
稿,S,4,draft,コウ
衡,S,2.5,equilibrium,コウ
購,S,2.5,subscription,コウ
乞,S,2,beg,こ-う
拷,S,2.5,torture,ゴウ
剛,S,2.5,sturdy,ゴウ
傲,S,2,be proud,ゴウ
豪,S,4,overpowering,ゴウ
克,S,3,overcome,コク
酷,S,2.5,cruel,コク
獄,S,3,prison,ゴク
駒,S,2,horse,こま
込,S,4,crowded,"こ-む,こ-める"
頃,S,2,times,ころ
昆,S,2.5,descendants,コン
恨,S,3,rancor,"コン,うら-む,うら-めしい"
婚,S,4,marriage,コン
痕,S,2,mark,"コン,あと"
紺,S,3,dark blue,コン
魂,S,3,soul,"コン,たましい"
墾,S,3,ground-breaking,コン
懇,S,2.5,sociable,"コン,ねんご-ろ"
佐,S,2.5,help,サ
沙,S,2,sand,サ
唆,S,2.5,tempt,"サ,そそのか-す"
詐,S,2.5,lie,サ
鎖,S,4,chain,"サ,くさり"
挫,S,2,sprain,ザ
采,S,2,form,サイ
砕,S,2.5,smash,"サイ,くだ-く,くだ-ける"
宰,S,2.5,superintend,サイ
栽,S,2.5,plantation,サイ
彩,S,4,coloring,"サイ,いろど-る"
斎,S,2.5,purification,サイ
債,S,3,bond,サイ
催,S,3,sponsor,"サイ,もよお-す"
塞,S,2,obstruct,"サイ,ソク,ふさ-ぐ,ふさ-がる"
歳,S,4,year-end,"サイ,（セイ）"
載,S,4,ride,"サイ,の-せる,の-る"
埼,S,2,cape (geography),（さい）
剤,S,4,dose,ザイ
崎,S,2.5,promontory,さき
削,S,3,plane,"サク,けず-る"
柵,S,2,fence,サク
索,S,2.5,cord,サク
酢,S,2.5,vinegar,"サク,す"
搾,S,3,squeeze,"サク,しぼ-る"
錯,S,3,confused,サク
咲,S,4,blossom,さ-く
刹,S,2,temple,"サツ,セツ"
拶,S,2,be imminent,サツ
撮,S,3,snapshot,"サツ,と-る"
擦,S,3,grate,"サツ,す-る,す-れる"
桟,S,2.5,scaffold,サン
惨,S,4,wretched,"サン,ザン,みじ-め"
傘,S,2.5,umbrella,"サン,かさ"
斬,S,2,kill by slicing,"ザン,き-る"
暫,S,3,temporarily,ザン
旨,S,4,delicious,"シ,むね"
伺,S,4,pay respects,"シ,うかが-う"
刺,S,4,thorn,"シ,さ-す,さ-さる"
祉,S,3,welfare,シ
肢,S,2.5,limb,シ
施,S,3,carry out,"シ,セ,ほどこ-す"
恣,S,2,selfish,シ
脂,S,4,fat,"シ,あぶら"
紫,S,4,purple,"シ,むらさき"
嗣,S,2.5,heir,シ
雌,S,4,feminine,"シ,め,めす"
摯,S,2,seriousness,シ
賜,S,2.5,grant,"シ,たまわ-る"
諮,S,3,consult with,"シ,はか-る"
侍,S,3,waiter,"ジ,さむらい"
滋,S,2.5,nourishing,ジ
慈,S,3,mercy,"ジ,いつく-しむ"
餌,S,2,bait,"ジ,えさ,え"
璽,S,2.5,emperor's seal,ジ
鹿,S,2,deer,"しか,（か）,ロク"
軸,S,3,axis,ジク
𠮟,S,2,scold,"シツ,しか-る"
疾,S,3,rapidly,シツ
執,S,4,tenacious,"シツ,シュウ,と-る"
湿,S,3,damp,"シツ,しめ-る,しめ-す"
嫉,S,2,envy,シツ
漆,S,2.5,lacquer,"シツ,うるし"
芝,S,4,turf,しば
赦,S,3,pardon,シャ
斜,S,4,diagonal,"シャ,なな-め"
煮,S,4,boil,"シャ,に-る,に-える,に-やす"
遮,S,2.5,intercept,"シャ,さえぎ-る"
邪,S,3,wicked,ジャ
蛇,S,2.5,snake,"ジャ,ダ,へび"
酌,S,2.5,bartending,"シャク,く-む"
釈,S,4,explanation,シャク
爵,S,2.5,baron,シャク
寂,S,4,loneliness,"ジャク,（セキ）,さび,さび-しい,さび-れる"
朱,S,4,vermilion,シュ
狩,S,4,hunt,"シュ,か-る,か-り"
殊,S,3,particularly,"シュ,こと"
珠,S,2.5,pearl,シュ
腫,S,2,tumor,"シュ,は-れる,は-らす"
趣,S,4,gist,"シュ,おもむき"
寿,S,3,longevity,"ジュ,ことぶき"
呪,S,2,curse,"ジュ,のろ-う"
需,S,4,demand,ジュ
儒,S,2.5,Confucian,ジュ
囚,S,2.5,captured,シュウ
舟,S,4,boat,"シュウ,ふね,（ふな）"
秀,S,4,excel,"シュウ,ひい-でる"
臭,S,2.5,stinking,"シュウ,くさ-い,にお-う"
袖,S,2,sleeve,"シュウ,そで"
羞,S,2,feel ashamed,シュウ
愁,S,2.5,distress,"シュウ,うれ-える,うれ-い"
酬,S,2.5,repay,シュウ
醜,S,2.5,ugly,"シュウ,みにく-い"
蹴,S,2,kick,"シュウ,け-る"
襲,S,4,attack,"シュウ,おそ-う"
汁,S,2.5,soup,"ジュウ,しる"
充,S,2.5,allot,"ジュウ,あ-てる"
柔,S,4,tender,"ジュウ,ニュウ,やわ-らか,やわ-らかい"
渋,S,2.5,astringent,"ジュウ,しぶ,しぶ-い,しぶ-る"
銃,S,2.5,gun,ジュウ
獣,S,4,animal,"ジュウ,けもの"
叔,S,2.5,uncle,シュク
淑,S,2.5,graceful,シュク
粛,S,2.5,solemn,シュク
塾,S,2.5,cram school,ジュク
俊,S,2.5,genius,シュン
瞬,S,4,wink,"シュン,またた-く"
旬,S,4,10-day period (of the month),"ジュン,（シュン）"
巡,S,4,patrol,"ジュン,めぐ-る"
盾,S,4,shield,"ジュン,たて"
准,S,2.5,quasi-,ジュン
殉,S,2.5,martyrdom,ジュン
循,S,2.5,sequential,ジュン
潤,S,3,wet,"ジュン,うるお-う,うるお-す,うる-む"
遵,S,3,abide by,ジュン
庶,S,2.5,commoner,ショ
緒,S,2.5,thong,"ショ,（チョ）,お"
如,S,3,likeness,"ジョ,ニョ"
叙,S,2.5,confer,ジョ
徐,S,3,gradually,ジョ
升,S,2.5,measuring box,"ショウ,ます"
召,S,4,summon,"ショウ,め-す"
匠,S,3,artisan,ショウ
床,S,4,bed,"ショウ,とこ,ゆか"
抄,S,2.5,extract,ショウ
肖,S,2.5,resemblance,ショウ
尚,S,2.5,esteem,ショウ
昇,S,3,rise up,"ショウ,のぼ-る"
沼,S,4,marsh,"ショウ,ぬま"
宵,S,2.5,wee hours,"ショウ,よい"
症,S,2.5,symptoms,ショウ
祥,S,2.5,auspicious,ショウ
称,S,4,appellation,ショウ
渉,S,2.5,ford,ショウ
紹,S,4,introduce,ショウ
訟,S,2.5,sue,ショウ
掌,S,3,manipulate,ショウ
晶,S,3,sparkle,ショウ
焦,S,3,char,"ショウ,こ-げる,こ-がす,こ-がれる,あせ-る"
硝,S,2.5,nitrate,ショウ
粧,S,2.5,cosmetics,ショウ
詔,S,2.5,imperial edict,"ショウ,みことのり"
奨,S,2.5,exhort,ショウ
詳,S,4,detailed,"ショウ,くわ-しい"
彰,S,2.5,patent,ショウ
憧,S,2,desire,"ショウ,あこが-れる"
衝,S,3,collide,ショウ
償,S,2.5,reparation,"ショウ,つぐな-う"
礁,S,2.5,reef,ショウ
鐘,S,3,bell,"ショウ,かね"
丈,S,4,length,"ジョウ,たけ"
冗,S,3,superfluous,ジョウ
浄,S,2.5,clean,ジョウ
剰,S,2.5,surplus,ジョウ
畳,S,4,tatami mat,"ジョウ,たた-む,たたみ"
縄,S,2.5,straw rope,"ジョウ,なわ"
壌,S,2.5,lot,ジョウ
嬢,S,3,lass,ジョウ
錠,S,3,lock,ジョウ
譲,S,3,defer,"ジョウ,ゆず-る"
醸,S,2.5,brew,"ジョウ,かも-す"
拭,S,2,wipe,"ショク,ふ-く,ぬぐ-う"
殖,S,4,augment,"ショク,ふ-える,ふ-やす"
飾,S,4,decorate,"ショク,かざ-る"
触,S,4,contact,"ショク,ふ-れる,さわ-る"
嘱,S,3,entrust,ショク
辱,S,3,embarrass,"ジョク,はずかし-める"
尻,S,2,buttocks,しり
伸,S,3,lengthen,"シン,の-びる,の-ばす,の-べる"
芯,S,2,core,シン
辛,S,3,spicy,"シン,から-い"
侵,S,4,encroach,"シン,おか-す"
津,S,2.5,haven,"シン,つ"
唇,S,2.5,lips,"シン,くちびる"
娠,S,2.5,with child,シン
振,S,4,shake,"シン,ふ-る,ふ-るう,ふ-れる"
浸,S,4,immersed,"シン,ひた-す,ひた-る"
紳,S,2.5,sire,シン
診,S,2.5,checkup,"シン,み-る"
寝,S,4,lie down,"シン,ね-る,ね-かす"
慎,S,4,humility,"シン,つつし-む"
審,S,3,examine,シン
震,S,4,quake,"シン,ふる-う,ふる-える"
薪,S,4,fuel,"シン,たきぎ"
刃,S,2.5,blade,"ジン,は"
尽,S,4,exhaust,"ジン,つ-くす,つ-きる,つ-かす"
迅,S,2.5,swift,ジン
甚,S,2.5,tremendously,"ジン,はなは-だ,はなは-だしい"
陣,S,4,camp,ジン
尋,S,4,inquire,"ジン,たず-ねる"
腎,S,2,kidney,ジン
須,S,2,by all means,ス
吹,S,4,blow,"スイ,ふ-く"
炊,S,3,cook,"スイ,た-く"
帥,S,2.5,commander,スイ
粋,S,3,chic,"スイ,いき"
衰,S,3,decline,"スイ,おとろ-える"
酔,S,3,drunk,"スイ,よ-う"
遂,S,3,consummate,"スイ,と-げる"
睡,S,2.5,drowsy,スイ
穂,S,3,ear,"スイ,ほ"
随,S,3,follow,ズイ
髄,S,3,marrow,ズイ
枢,S,2.5,hinge,スウ
崇,S,2.5,adore,スウ
据,S,2.5,set,"す-える,す-わる"
杉,S,2.5,cedar,すぎ
裾,S,2,cuff,すそ
瀬,S,3,rapids,せ
是,S,4,just so,ゼ
井,S,4,well,"セイ,（ショウ）,い"
姓,S,4,surname,"セイ,ショウ"
征,S,4,subjugate,セイ
斉,S,2.5,adjusted,セイ
牲,S,3,animal sacrifice,セイ
凄,S,2,uncanny,セイ
逝,S,2.5,departed,"セイ,ゆ-く,い-く"
婿,S,3,bridegroom,"セイ,むこ"
誓,S,2.5,vow,"セイ,ちか-う"
請,S,3,solicit,"セイ,（シン）,こ-う,う-ける"
醒,S,2,be disillusioned,セイ
斥,S,3,reject,セキ
析,S,2.5,chop,セキ
脊,S,2,stature,セキ
隻,S,3,vessels,セキ
惜,S,3,pity,"セキ,お-しい,お-しむ"
戚,S,2,grieve,セキ
跡,S,4,tracks,"セキ,あと"
籍,S,3,enroll,セキ
拙,S,2.5,bungling,"セツ,つたな-い"
窃,S,2.5,stealth,セツ
摂,S,3,vicarious,セツ
仙,S,2.5,hermit,セン
占,S,4,fortune telling,"セン,し-める,うらな-う"
扇,S,4,fan,"セン,おうぎ"
栓,S,2.5,plug,セン
旋,S,2.5,rotation,セン
煎,S,2,broil,"セン,い-る"
羨,S,2,envy,"セン,うらや-む,うらや-ましい"
腺,S,2,gland,セン
詮,S,2,discussion,セン
践,S,2.5,tread,セン
箋,S,2,paper,セン
潜,S,3,submerge,"セン,ひそ-む,もぐ-る"
遷,S,2.5,transition,セン
薦,S,2.5,recommend,"セン,すす-める"
繊,S,2.5,slender,セン
鮮,S,4,fresh,"セン,あざ-やか"
禅,S,2.5,Zen,ゼン
漸,S,2.5,steadily,ゼン
膳,S,2,tray,ゼン
繕,S,3,darning,"ゼン,つくろ-う"
狙,S,2,aim at,"ソ,ねら-う"
阻,S,3,thwart,"ソ,はば-む"
租,S,2.5,tariff,ソ
措,S,3,set aside,ソ
粗,S,3,coarse,"ソ,あら-い"
疎,S,2.5,alienate,"ソ,うと-い,うと-む"
訴,S,4,sue,"ソ,うった-える"
塑,S,2.5,model,ソ
遡,S,2,go upstream,"ソ,さかのぼ-る"
礎,S,3,cornerstone,"ソ,いしずえ"
双,S,3,pair,"ソウ,ふた"
壮,S,2.5,robust,ソウ
荘,S,2.5,villa,ソウ
捜,S,2.5,search,"ソウ,さが-す"
挿,S,2.5,insert,"ソウ,さ-す"
桑,S,3,mulberry,"ソウ,くわ"
掃,S,3,sweep,"ソウ,は-く"
曹,S,2.5,cadet,ソウ
曽,S,2,formerly,"ソウ,（ゾ）"
爽,S,2,refreshing,"ソウ,さわ-やか"
喪,S,2.5,miss,"ソウ,も"
痩,S,2,get thin,"ソウ,や-せる"
葬,S,3,interment,"ソウ,ほうむ-る"
僧,S,4,Buddhist priest,ソウ
遭,S,3,encounter,"ソウ,あ-う"
槽,S,2.5,vat,ソウ
踪,S,2,remains,ソウ
燥,S,4,parch,ソウ
霜,S,2.5,frost,"ソウ,しも"
騒,S,4,boisterous,"ソウ,さわ-ぐ"
藻,S,2.5,seaweed,"ソウ,も"
憎,S,3,hate,"ゾウ,にく-む,にく-い,にく-らしい,にく-しみ"
贈,S,4,presents,"ゾウ,（ソウ）,おく-る"
即,S,4,instant,ソク
促,S,3,stimulate,"ソク,うなが-す"
捉,S,2,capture,"ソク,とら-える"
俗,S,4,vulgar,ゾク
賊,S,3,burglar,ゾク
遜,S,2,humble,ソン
汰,S,2,luxury,タ
妥,S,2.5,gentle,ダ
唾,S,2,saliva,"ダ,つば"
堕,S,2.5,degenerate,ダ
惰,S,2.5,lazy,ダ
駄,S,2.5,burdensome,ダ
耐,S,4,resistant,"タイ,た-える"
怠,S,3,neglect,"タイ,おこた-る,なま-ける"
胎,S,3,womb,タイ
泰,S,2.5,peaceful,タイ
堆,S,2,piled high,タイ
袋,S,3,sack,"タイ,ふくろ"
逮,S,3,apprehend,タイ
替,S,4,exchange,"タイ,か-える,か-わる"
滞,S,3,stagnate,"タイ,とどこお-る"
戴,S,2,be crowned with,タイ
滝,S,3,waterfall,たき
択,S,3,choose,タク
沢,S,4,swamp,"タク,さわ"
卓,S,3,eminent,タク
拓,S,4,clear (the land),タク
託,S,3,consign,タク
濯,S,2.5,laundry,タク
諾,S,3,consent,ダク
濁,S,4,voiced,"ダク,にご-る,にご-す"
但,S,2.5,however,ただ-し
脱,S,4,undress,"ダツ,ぬ-ぐ,ぬ-げる"
奪,S,3,rob,"ダツ,うば-う"
棚,S,2.5,shelf,たな
誰,S,2,who (question word),だれ
丹,S,4,cinnabar,タン
旦,S,2,daybreak,"タン,ダン"
胆,S,3,gall bladder,タン
淡,S,4,thin,"タン,あわ-い"
嘆,S,4,sigh,"タン,なげ-く,なげ-かわしい"
端,S,4,edge,"タン,はし,は,はた"
綻,S,2,rip,"タン,ほころ-びる"
鍛,S,3,forge,"タン,きた-える"
